Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Sierra Leone,0.12953321199999998,255.29991150000004,1590.0,90.0,80.0,1.07,301.0,53.895,88.46989546,9.560322247,13.24676127,4.530555555555556
Singapore,8.451151436,4193.912109000001,88090.0,96.0,95.0,0.08,47.0,83.09512195,146.8437245,100.0,100.0,4.530555555555556
Slovak Republic,6.173665693999999,2093.5703129999997,29510.0,96.0,96.0,0.9936923076923078,4.8,77.16585366,130.6513152,99.08292453,82.12518895,4.530555555555556
Slovenia,6.842858166,2960.5932620000003,35850.0,94.0,93.0,0.02,6.2,81.02926829,117.66418130000001,98.27432091,68.07094176,0.0
Solomon Islands,0.550288508,110.61569209999999,2610.0,83.0,84.0,0.9936923076923078,73.0,72.645,73.1607653,72.09441406816394,57.94876916857851,4.530555555555556
Somalia,0.045239052,1449.1322523124295,860.0,42.0,46.0,0.02,266.0,56.708999999999996,48.79644016,72.09441406816394,28.8495718,68.6
South Africa,7.632729355,1090.085693,12320.0,76.0,70.0,10.09,738.0,63.538000000000004,155.23239569999998,72.09441406816394,57.94876916857851,4.530555555555556
South Sudan,0.13931184,147.8605957,20412.66304347826,47.0,50.0,2.26,227.0,57.365,25.56130126,72.09441406816394,57.94876916857851,4.530555555555556
Spain,5.654039569,3482.463379,39540.0,95.0,98.0,0.18,11.0,83.28292683,112.5612499,99.57931146,95.66605059999999,0.7
Sri Lanka,1.087017348,497.98007199999995,12250.0,99.0,99.0,0.01,64.0,76.648,133.4676273,72.09441406816394,57.94876916857851,4.530555555555556
St. Lucia,2.044707248,636.7132568,14150.0,80.0,87.0,0.9936923076923078,7.0,75.907,97.64581054,72.09441406816394,57.94876916857851,4.530555555555556
St. Martin (French part),4.140249228967392,1449.1322523124295,20412.66304347826,87.67213114754098,87.0327868852459,0.9936923076923078,109.91783505154638,79.62195122,107.72459359056994,96.69953854,57.94876916857851,4.530555555555556
St. Vincent and the Grenadines,2.458434251,507.44885250000004,12190.0,99.0,99.0,0.9936923076923078,2.1,72.3,105.4786164,72.09441406816394,57.94876916857851,4.530555555555556
Sudan,0.498365757,311.7604065,4270.0,95.0,90.0,0.15,77.0,64.881,70.18317784,72.09441406816394,57.94876916857851,4.530555555555556
Suriname,3.733560502,934.6161499,16260.0,67.0,76.0,0.56,28.0,71.46300000000001,139.50509730000002,55.09333127,26.10961233,4.530555555555556
Sweden,3.811011227,5635.541992,52850.0,97.0,97.0,0.9936923076923078,5.7,82.4097561,126.39519890000001,99.75401968,94.78554161,0.2
Switzerland,4.569419203,7928.174805,67870.0,96.0,95.0,0.07,7.2,83.55121951,131.1359393,94.24815119,99.63774647,0.0
Syrian Arab Republic,1.7021855069999998,1449.1322523124295,20412.66304347826,48.0,67.0,0.01,20.0,70.967,89.99935539,72.09441406816394,57.94876916857851,4.530555555555556
Tajikistan,0.717320532,232.1232452,3730.0,96.0,98.0,0.19,85.0,70.64699999999999,111.5281656,53.55591321,57.94876916857851,4.530555555555556
